age,income,budget,phn_no,mail,rented_house,insurance,occupation
56,56529,3469,568-649-9918,lee.white44@example.com,no,no,analyst
46,23904,1462,630-865-6018,devon.moore264@example.com,no,no,driver
32,109301,2816,752-116-7750,dakota.smith249@example.com,yes,yes,teacher
60,77370,3588,845-400-1087,,no,yes,sales
25,81819,2598,909-662-2268,lee.smith23@example.com,no,no,healthcare
38,43430,2005,566-541-7045,alex.jones764@example.com,no,yes,teacher
56,71249,3558,107-648-5654,logan.wilson212@example.com,no,yes,accountant
36,70667,2443,199-444-8852,blake.moore930@example.com,yes,yes,operations
40,46927,1604,852-580-7846,taylor.wilson528@example.com,no,no,marketing
28,61264,1107,441-333-5888,jamie.brown247@example.com,no,yes,marketing
28,31990,300,334-225-5780,aidan.jones982@example.com,no,yes,healthcare
41,57372,4074,471-219-7703,logan.anderson509@example.com,yes,yes,engineer
53,86425,1405,278-193-1747,riley.martinez238@example.com,no,no,technician
57,48569,3116,401-898-4488,maya.thomas702@example.com,no,yes,operations
41,106961,1326,923-221-3104,maya.johnson727@example.com,yes,no,engineer
20,33406,2359,884-238-3768,riley.davis577@example.com,yes,yes,healthcare
39,59276,2627,884-460-1409,jamie.patel974@example.com,no,yes,marketing
19,50559,1023,745-948-2551,morgan.wilson692@example.com,no,no,engineer
41,61036,3109,714-342-2113,dakota.patel625@example.com,yes,yes,customer_service
61,95172,2012,615-161-2727,maya.patel663@example.com,no,yes,teacher
47,43342,2725,596-155-9168,casey.white38@example.com,no,yes,marketing
55,55072,3582,,taylor.patel890@example.com,yes,yes,accountant
19,79399,2903,569-488-7700,alex.williams936@example.com,no,yes,healthcare
38,67049,2110,658-833-4869,aidan.martinez370@example.com,no,no,operations
50,68854,4047,180-543-3039,riley.jones776@example.com,yes,yes,consultant
29,43764,2158,891-386-2307,,no,yes,teacher
39,63425,2288,590-487-2724,casey.taylor552@example.com,no,yes,marketing
61,89895,2045,,dakota.garcia706@example.com,no,yes,accountant
42,29591,1036,426-275-8688,jamie.williams432@example.com,yes,yes,marketing
44,49659,931,889-482-4061,chris.robinson269@example.com,no,yes,technician
59,25058,1674,357-446-9587,devon.harris123@example.com,yes,yes,customer_service
45,76813,1237,791-253-8694,aidan.anderson27@example.com,no,yes,analyst
33,91960,1936,166-940-5443,logan.jones686@example.com,no,yes,consultant
32,60965,2985,162-455-2304,casey.taylor583@example.com,no,yes,customer_service
64,42879,1811,140-639-7510,jamie.davis3@example.com,yes,no,customer_service
61,43523,2409,376-320-6848,jordan.brown853@example.com,no,no,healthcare
